# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# pressure (code_units),epsilon (code_units),muB,phase_index
4.336243e-18,3.056268e-13,919.8381501115539,0
1.204109e-25,2.992132e-17,921.5899774660396,0
8.715273e-19,1.118151e-13,923.3418048205256,0
4.809383e-15,3.212953e-11,925.0936321750114,0
4.461990e-12,4.403688e-09,926.8454595294972,0
1.098609e-11,1.043667e-08,928.5972868839831,0
4.321189e-11,3.294200e-08,930.349114238469,0
2.064935e-10,1.196953e-07,932.1009415929548,0
5.783571e-10,2.827014e-07,933.8527689474408,0
2.177923e-09,2.008933e-06,935.6045963019266,0
4.963817e-09,4.684958e-06,937.3564236564125,0
7.749711e-09,7.360984e-06,939.1082510108984,0
1.053560e-08,1.003701e-05,940.8600783653842,0
1.653085e-08,1.453517e-05,942.61190571987,0
6.470319e-08,3.474934e-05,944.363733074356,0
1.421738e-07,4.969000e-05,946.1155604288417,0
2.464573e-07,6.257419e-05,947.8673877833278,0
3.744863e-07,7.418859e-05,949.6192151378135,0
5.238346e-07,8.510707e-05,951.3710424922995,0
6.935934e-07,9.556055e-05,953.1228698467853,0
8.806937e-07,1.056113e-04,954.874697201271,0
1.083357e-06,1.153072e-04,956.626524555757,0
1.302850e-06,1.246491e-04,958.3783519102428,0
1.543887e-06,1.335932e-04,960.1301792647287,0
1.798300e-06,1.422772e-04,961.8820066192145,0
2.064934e-06,1.507213e-04,963.6338339737005,0
2.354754e-06,1.590844e-04,965.3856613281862,0
2.655499e-06,1.672564e-04,967.1374886826723,0
2.969215e-06,1.751866e-04,968.889316037158,0
3.300541e-06,1.827031e-04,970.6411433916439,0
3.637920e-06,1.900923e-04,972.3929707461298,0
3.997498e-06,1.971062e-04,974.1447981006156,0
4.363256e-06,2.040148e-04,975.8966254551015,0
4.747157e-06,2.106145e-04,977.6484528095874,0
5.137532e-06,2.170763e-04,979.4002801640731,0
5.543416e-06,2.232077e-04,981.1521075185592,0
5.953296e-06,2.292712e-04,982.9039348730449,0
6.381752e-06,2.350184e-04,984.6557622275309,0
6.810208e-06,2.407657e-04,986.4075895820167,0
7.281860e-06,3.457086e-04,988.1594169365025,1
7.766156e-06,3.533780e-04,989.9112442909884,1
8.283781e-06,3.602465e-04,991.6630716454742,1
8.803185e-06,3.670722e-04,993.4148989999601,1
9.322589e-06,3.738979e-04,995.1667263544459,1
9.858882e-06,3.803647e-04,996.9185537089319,1
1.041050e-05,3.865059e-04,998.6703810634176,1
1.096211e-05,3.926472e-04,1000.4222084179037,1
1.151652e-05,3.987317e-04,1002.1740357723894,1
1.209621e-05,4.043021e-04,1003.9258631268754,1
1.267591e-05,4.098726e-04,1005.6776904813612,1
1.325560e-05,4.154430e-04,1007.429517835847,1
1.385234e-05,4.206860e-04,1009.1813451903329,1
1.445730e-05,4.257709e-04,1010.9331725448188,1
